,次数中心性,媒介中心性,PageRank
418,0.00200133422281521,0.00046847441189559145,0.0005582803243074136
419,0.0,0.0,0.0001122082585418489
420,0.00133422281521014,0.0012597316683332794,0.0005283688948059471
421,0.00400266844563042,0.0023014103314584035,0.0010014301729803106
422,0.00133422281521014,0.0008853967630162852,0.0005269670676153625
423,0.00133422281521014,0.0001574103746714828,0.00046620817692471004
424,0.00133422281521014,0.0005860167128711465,0.0004623690666960288
425,0.00266844563042028,0.001057507553879366,0.0005567544491640199
426,0.00200133422281521,0.0011510573921277758,0.0007373917855726203
427,0.00200133422281521,0.0003317991090463049,0.0007359137612942044
428,0.00266844563042028,0.0017839785627794561,0.00099012305501784
429,0.0,0.0,0.0001122082585418489
430,0.0,0.0,0.0001122082585418489
431,0.00066711140760507,5.757319077988412e-05,0.0002135063338878363
432,0.0,0.0,0.0001122082585418489
433,0.00133422281521014,9.590145446730973e-05,0.0006436242386838977
434,0.00133422281521014,0.0005099149859342222,0.0002765203006210931
435,0.00200133422281521,0.001122714035779644,0.0005272931968462378
436,0.0,0.0,0.0001122082585418489
437,0.00200133422281521,0.0013461352045802757,0.0005024491399651086
438,0.00133422281521014,0.00020941360924427245,0.0004295729660186997
439,0.00133422281521014,0.0001311757135772539,0.0004352117919294434
440,0.00400266844563042,0.001706333466997079,0.001338136344472035
441,0.0,0.0,0.0001122082585418489
442,0.0,0.0,0.0001122082585418489
443,0.0,0.0,0.0001122082585418489
444,0.0,0.0,0.0001122082585418489
445,0.00066711140760507,0.0,0.0003009862041337479
446,0.00066711140760507,8.716942260414885e-05,0.00028995115880971293
447,0.0,0.0,0.0001122082585418489
448,0.0,0.0,0.0001122082585418489
449,0.0,0.0,0.0001122082585418489
450,0.00266844563042028,0.0010318029062029205,0.0007768420594829501
451,0.00600400266844563,0.007076779281138027,0.001338689278150532
452,0.0,0.0,0.0001122082585418489
453,0.00066711140760507,0.0002828149392175682,0.0003360277402896253
454,0.00133422281521014,0.0001743106769021414,0.000654343712905601
455,0.0,0.0,0.0001122082585418489
456,0.0,0.0,0.0001122082585418489
457,0.00333555703802535,0.0028964560029493503,0.0008650195211270476
458,0.00266844563042028,0.0007297298398004138,0.0007755702105949029
459,0.00066711140760507,0.0001265746535838444,0.00021920608436837622
460,0.00066711140760507,0.0,0.00027982616391977755
461,0.00133422281521014,0.00017024511432581956,0.00023849005813277653
462,0.00066711140760507,0.0001266668337609761,0.00043375292865293155
463,0.0,0.0,0.0001122082585418489
464,0.00533689126084056,0.002091855691829664,0.00123776109720721
465,0.00066711140760507,0.0,0.00022544951768397177
466,0.00133422281521014,0.00019382262450863577,0.0004992649737289493
467,0.00066711140760507,0.0,0.00024163985556666383
468,0.0,0.0,0.0001122082585418489
469,0.00066711140760507,0.0001327597449594632,0.0002030237516384797
470,0.00200133422281521,0.0005493065356005531,0.00038994777018165275
471,0.00066711140760507,0.00013411012870892053,0.0004052371455082667
472,0.00200133422281521,0.0008452588520704891,0.00034880202563574727
473,0.00133422281521014,0.00020032232871521898,0.00044165128479636774
474,0.00533689126084056,0.002694460361348853,0.0011675818736835448
475,0.00200133422281521,0.0003978281046940215,0.0006446815755029095
476,0.0,0.0,0.0001122082585418489
477,0.00066711140760507,0.0,0.00023543786363746288
478,0.0,0.0,0.0001122082585418489
479,0.00400266844563042,0.002216151536800109,0.0012576319484703155
480,0.0,0.0,0.0001122082585418489
481,0.00533689126084056,0.002408315280994856,0.00126162144739436
482,0.00133422281521014,7.894136417876157e-05,0.0005457457153665686
483,0.00266844563042028,0.0017904187485185735,0.0008285033422839039
484,0.00066711140760507,0.0,0.00028081598749626007
485,0.00200133422281521,0.0008163583531610055,0.0006630718539108875
486,0.0,0.0,0.0001122082585418489
487,0.0,0.0,0.0001122082585418489
488,0.00066711140760507,7.328941031503577e-05,0.0002504640646010529
489,0.00133422281521014,5.294590792632131e-05,0.00040941482382038044
490,0.0,0.0,0.0001122082585418489
491,0.00133422281521014,3.710254595071062e-05,0.0005308070963911369
492,0.00333555703802535,0.0014813764901534443,0.0007453311495537692
493,0.0,0.0,0.0001122082585418489
494,0.00066711140760507,0.00023737839018104817,0.00035185793645408356
495,0.00066711140760507,1.3480951849995926e-05,0.0002087964552708847
496,0.00133422281521014,0.00019388980731316338,0.0004005354860621343
497,0.00133422281521014,0.00020047661438002667,0.00046004876914969067
498,0.0,0.0,0.0001122082585418489
499,0.0,0.0,0.0001122082585418489
500,0.0,0.0,0.0001122082585418489
501,0.00200133422281521,0.0008059853858296554,0.0006290557644759867
502,0.00333555703802535,0.002746211757996422,0.0008544076397103992
503,0.0,0.0,0.0001122082585418489
504,0.0,0.0,0.0001122082585418489
505,0.00066711140760507,0.00046602414371619145,0.0003948540308586787
506,0.00400266844563042,0.002869449704239368,0.0013082651632961091
507,0.00066711140760507,8.030431858466412e-05,0.0003418622568207964
508,0.00133422281521014,0.00010943959526513561,0.000640842219968184
509,0.00200133422281521,0.0012025583020601753,0.000550957662815224
510,0.00400266844563042,0.0030535863755225294,0.001027907575062652
511,0.00266844563042028,0.00028107308712858425,0.0004631124613957374
512,0.00066711140760507,8.469260755671872e-05,0.0003751286875231959
513,0.00200133422281521,0.00021441921107594864,0.00038692301829916775
514,0.00066711140760507,6.974229495851344e-05,0.00026101318161548544
515,0.00133422281521014,0.0005304285485800253,0.0004145861320368726
516,0.00200133422281521,0.0012665734235410538,0.0009038055153765928
517,0.00066711140760507,4.4935510724012875e-05,0.00016720446887726298
518,0.00200133422281521,0.0006085181707076933,0.0007934647908038978
519,0.00066711140760507,6.370535224759821e-05,0.00015661928063059118
520,0.00133422281521014,3.2156715873764444e-05,0.0004727652204393959
521,0.00133422281521014,0.0005805429326628058,0.00031516668763733637
522,0.0,0.0,0.0001122082585418489
523,0.00066711140760507,0.00010624345672486114,0.00023543786363746288
524,0.0,0.0,0.0001122082585418489
525,0.00400266844563042,0.001944356251746266,0.001093588849416601
526,0.0,0.0,0.0001122082585418489
527,0.00333555703802535,0.002549852800094951,0.001078600005777333
528,0.00066711140760507,0.0,0.00036223292197493686
529,0.00266844563042028,0.0005639360826684497,0.0007449707064152755
530,0.00133422281521014,0.00013976775980352961,0.0004992825983471552
531,0.0,0.0,0.0001122082585418489
532,0.00066711140760507,0.0,0.00036967578423972993
533,0.00066711140760507,3.471825492120906e-05,0.00019649153499929652
