,trust,group,score,dc_score,bc_score,pr_score
0,1,1,0.16867035769574779,0.16432865731462926,0.002250748939257812,0.0020909514418607205
1,1,3,0.10239274107336273,0.1002004008016032,0.0007491238779765339,0.0014432163937829995
2,1,3,0.14347884120890872,0.1402805611222445,0.0013746579817420094,0.0018236221049222107
3,1,3,0.1772765087212374,0.1723446893787575,0.0026848120970174093,0.002247007245462507
4,1,3,0.1887035287842696,0.1843687374749499,0.001997297085454689,0.0023374942238650383
5,1,1,0.19726029578078286,0.19238476953907813,0.0024638806329815464,0.002411645608723167
6,1,3,0.13505016906661552,0.13226452905811623,0.0010351316199419395,0.0017505083885573668
7,1,1,0.22649152596558197,0.22044088176352702,0.0033017787045657968,0.002748865497489147
8,1,2,0.21810245610178108,0.2124248496993988,0.0030883944431165417,0.0025892119592657464
9,1,2,0.12323143628255896,0.12024048096192384,0.0013695933776267171,0.0016213619430083936
10,1,1,0.219075400400905,0.2124248496993988,0.004012945177684887,0.0026376055238213248
11,1,3,0.22254252060469407,0.21643286573146292,0.003434902763696147,0.0026747521095349842
12,0,4,0.08599977658335511,0.08416833667334668,0.0005552512523043007,0.001276188657704137
13,1,1,0.3790146328430688,0.36472945891783565,0.009974083769644674,0.004311090155588514
14,0,3,0.19363645447906044,0.18837675350701402,0.0028824310428704467,0.0023772699291759783
15,1,1,0.12709888541423536,0.12424849699398796,0.0011836963131029398,0.001666692107144456
16,1,1,0.15591715547183016,0.15230460921843686,0.0016492117017116918,0.001963334551681588
17,1,3,0.1355844847281132,0.13226452905811623,0.0015307449113119173,0.0017892107586850673
18,1,2,0.08971240861062534,0.08817635270541081,0.0002981664704538469,0.0012378894347606748
19,1,1,0.16039206694671584,0.156312625250501,0.00205777132051258,0.002021670375702281
20,1,3,0.24886575803961777,0.24048096192384769,0.0053836629368994495,0.003001133178870621
21,1,3,0.1348506487184138,0.13226452905811623,0.0008498481276737127,0.0017362715326238519
22,1,1,0.19340448291230594,0.18837675350701402,0.0026861112891703874,0.0023416181161215323
23,1,2,0.18429377705854438,0.18036072144288576,0.00169846692467731,0.0022345886909813095
24,1,3,0.15570650446113363,0.15230460921843686,0.0014402608941766948,0.0019616343485200764
25,1,3,0.23604234692689272,0.2284569138276553,0.004746299523246793,0.0028391335759906395
